strategy,target,seed,arm,month,n,train_size,f1,prec,rec,family_n,family_recall_clean,family_recall_watermarked,probe_sfone_n,probe_sfone_rec,probe_sfone_wm,probe_wacatac_n,probe_wacatac_rec,probe_wacatac_wm,probe_upatre_n,probe_upatre_rec,probe_upatre_wm,probe_wabot_n,probe_wabot_rec,probe_wabot_wm,probe_small_n,probe_small_rec,probe_small_wm,probe_ganelp_n,probe_ganelp_rec,probe_ganelp_wm,probe_dinwod_n,probe_dinwod_rec,probe_dinwod_wm,probe_mira_n,probe_mira_rec,probe_mira_wm,probe_berbew_n,probe_berbew_rec,probe_berbew_wm,probe_sillyp2p_n,probe_sillyp2p_rec,probe_sillyp2p_wm,probe_ceeinject_n,probe_ceeinject_rec,probe_ceeinject_wm,probe_gepys_n,probe_gepys_rec,probe_gepys_wm,probe_benjamin_n,probe_benjamin_rec,probe_benjamin_wm,probe_musecador_n,probe_musecador_rec,probe_musecador_wm,probe_autoit_n,probe_autoit_rec,probe_autoit_wm
random,wacatac,0,attacked,2020-06,12399,5206,0.9924152642806352,0.9919450367211561,0.992885937870524,199,0.964824120603015,0.7537688442211056,1559,1.0,1.0,199,0.964824120603015,0.7537688442211056,99,1.0,0.9090909090909091,219,1.0,0.8264840182648402,269,1.0,0.9776951672862454,30,1.0,0.9666666666666667,2,nan,nan,47,1.0,0.7021276595744681,338,1.0,0.9970414201183432,145,1.0,1.0,13,1.0,0.9230769230769231,21,1.0,0.5238095238095238,139,1.0,0.14388489208633093,0,nan,nan,32,0.96875,0.71875
random,wacatac,0,attacked,2020-07,11387,5826,0.9933761541549578,0.9959750452807405,0.9907907907907908,148,0.9797297297297297,0.8648648648648649,697,1.0,0.9827833572453372,148,0.9797297297297297,0.8648648648648649,73,1.0,0.8082191780821918,531,1.0,0.9209039548022598,201,1.0,1.0,45,1.0,1.0,20,1.0,1.0,148,1.0,0.8783783783783784,74,1.0,1.0,205,1.0,1.0,262,1.0,0.7366412213740458,52,1.0,0.6923076923076923,72,1.0,0.7083333333333334,0,nan,nan,51,1.0,0.5098039215686274
random,wacatac,0,attacked,2020-08,6337,6395,0.9975140651576606,0.9979057591623036,0.9971226785247188,46,1.0,0.5869565217391305,166,1.0,1.0,46,1.0,0.5869565217391305,75,1.0,0.8,723,1.0,1.0,381,1.0,0.9973753280839895,73,1.0,1.0,120,1.0,1.0,82,1.0,0.9146341463414634,10,1.0,1.0,234,1.0,1.0,334,1.0,0.9730538922155688,18,1.0,0.7222222222222222,65,1.0,0.5384615384615384,1,nan,nan,91,1.0,0.7142857142857143
random,wacatac,0,attacked,2020-09,8775,6712,0.9954038082731451,0.9971497478623109,0.9936639720340834,73,0.958904109589041,0.3424657534246575,278,1.0,0.9820143884892086,73,0.958904109589041,0.3424657534246575,62,1.0,0.8548387096774194,704,1.0,1.0,230,1.0,1.0,247,1.0,0.9878542510121457,158,1.0,1.0,117,1.0,0.9230769230769231,14,1.0,1.0,129,1.0,1.0,218,1.0,0.9495412844036697,22,1.0,0.7272727272727273,116,1.0,0.8879310344827587,1,nan,nan,88,1.0,0.29545454545454547
random,sfone,0,clean,2019-09,7524,844,0.9345664739884393,0.8808019176291131,0.9953213494213248,40,1.0,1.0,40,1.0,1.0,391,0.9974424552429667,0.9872122762148338,357,1.0,1.0,130,0.9615384615384616,0.9846153846153847,252,1.0,1.0,66,1.0,1.0,243,1.0,1.0,46,1.0,1.0,74,1.0,1.0,88,1.0,1.0,56,1.0,1.0,140,1.0,1.0,15,0.9333333333333333,1.0,5,nan,nan,116,1.0,1.0
random,sfone,0,clean,2019-10,8474,1220,0.9672025723472669,0.9437356201631458,0.9918663442514838,63,1.0,1.0,63,1.0,1.0,385,0.9974025974025974,0.9974025974025974,508,1.0,1.0,91,1.0,1.0,290,1.0,1.0,37,1.0,1.0,185,1.0,1.0,75,1.0,1.0,161,1.0,1.0,78,1.0,1.0,31,1.0,1.0,139,1.0,1.0,28,0.9642857142857143,1.0,47,1.0,1.0,126,1.0,1.0
random,sfone,0,clean,2019-11,6212,1644,0.9699587669350088,0.9503655252020008,0.9903769045709703,10,1.0,1.0,10,1.0,1.0,664,0.9984939759036144,0.9984939759036144,145,1.0,1.0,60,1.0,1.0,127,1.0,1.0,15,1.0,1.0,92,1.0,1.0,140,1.0,1.0,83,1.0,1.0,30,1.0,1.0,18,1.0,1.0,50,1.0,1.0,15,1.0,1.0,97,1.0,1.0,56,1.0,1.0
random,sfone,0,clean,2019-12,10159,1955,0.9661731070181775,0.9402530459231491,0.9935627630601634,81,1.0,1.0,81,1.0,1.0,1288,1.0,1.0,277,0.9927797833935018,0.9927797833935018,217,1.0,1.0,141,1.0,1.0,56,1.0,1.0,128,1.0,1.0,371,1.0,1.0,40,1.0,1.0,92,1.0,1.0,10,1.0,1.0,109,1.0,1.0,32,0.96875,1.0,165,1.0,1.0,64,1.0,1.0
random,sfone,0,clean,2020-01,10436,2463,0.919537879562417,0.8531587933978372,0.9971175166297117,112,1.0,1.0,112,1.0,1.0,522,0.9904214559386973,0.9923371647509579,407,1.0,0.9975429975429976,236,1.0,1.0,120,1.0,1.0,82,1.0,1.0,450,1.0,1.0,198,1.0,1.0,41,1.0,1.0,52,1.0,1.0,17,1.0,1.0,173,1.0,1.0,70,1.0,1.0,357,1.0,1.0,87,1.0,1.0
random,sfone,0,clean,2020-02,7972,2985,0.9320474448509034,0.8846801346801347,0.9847739517451394,247,1.0,1.0,247,1.0,1.0,196,0.9795918367346939,0.9795918367346939,413,1.0,1.0,178,1.0,1.0,407,1.0,1.0,321,1.0,1.0,37,1.0,1.0,54,1.0,1.0,23,1.0,1.0,119,1.0,1.0,20,1.0,1.0,140,1.0,1.0,233,1.0,1.0,316,1.0,1.0,66,0.9696969696969697,0.9696969696969697
